"stock","year","2.5%","25%","50%","75%","97.5%","SD"
"Teslin",2007,7146.58808024522,7457.30439966638,7618.9835085038,7776.21644615969,8077.71638655838,232.78207657829
"MiddleMainstem",2007,2186.80496258337,2294.42018384801,2350.31305317862,2405.8683081039,2515.64892405714,82.210990368443
"UpperLakesAndMainstem",2007,1290.76663244493,1350.57087628115,1381.6446802458,1411.28953062636,1471.51464821903,45.187003943525
"LowerMainstem",2008,2491.25798747211,2568.93999483335,2613.16183822308,2654.35664198771,2734.81595648776,60.8894922539134
"WhiteDonjek",2008,6241.32208262173,6427.48949787276,6523.88201764061,6620.50442630787,6798.6164214067,139.323584696242
"Pelly",2008,3091.70713841226,3419.49841425091,3580.47089062183,3743.5894792701,4063.70487726149,242.999434712307
"Stewart",2008,1429.97307130355,1710.1525692942,1857.00412932158,2002.03136518734,2271.00129853986,210.257056809079
"Carmacks",2008,2372.03808346653,2744.27356885874,2933.59753831947,3123.14816495084,3491.10023914632,279.765538919949
"Teslin",2008,9272.57557123216,9611.90627233459,9778.36520421955,9952.75446105445,10286.6939935085,253.529605569096
"MiddleMainstem",2008,6587.89189102691,6780.62211016161,6878.67046155598,6979.31359951548,7167.45123320306,144.889835544039
"UpperLakesAndMainstem",2008,3599.53746560431,3714.31321364601,3773.99545140216,3833.86160480832,3950.56107646413,87.7559027149549
"LowerMainstem",2009,4829.74931345461,5183.68229505116,5452.390930726,5616.7452596016,5867.15466887524,259.351338855158
"WhiteDonjek",2009,7308.73791357296,8749.90915191763,11986.8308685214,12225.5935029619,12574.4495756293,1316.42791551408
"Pelly",2009,13303.8366867311,14364.7877603167,14909.5449399483,15487.6101772828,16618.3811622513,828.636118880031
"Stewart",2009,5069.32780470993,6419.27728540817,9828.84279992917,10666.31060211,11885.0248651651,1703.9242651138
"Carmacks",2009,7110.88668886167,8091.71067795279,8740.68629460796,12658.2708243378,13145.9347097933,1508.76200523291
"Teslin",2009,11909.6745290508,12884.9779967142,13533.468238278,16867.9853675918,17865.2755556101,1488.90025663982
"MiddleMainstem",2009,4005.70419512054,4161.38993888309,4257.04751278935,4380.25515527052,4573.22524754524,141.880263106177
"UpperLakesAndMainstem",2009,1287.92289416353,1345.27894699811,1375.18862861248,1403.67028774036,1459.57553834321,42.9131610449195
"LowerMainstem",2010,663.452790958271,739.028391765472,779.37095299314,819.087378621473,892.424080408321,57.2428223625125
"WhiteDonjek",2010,7385.92088548227,7770.50953518155,7980.85741900504,8188.73131774207,8585.26592140261,299.836258980083
"Pelly",2010,5344.33385314154,5771.5496445287,6000.81124389791,6220.65529626443,6648.0628443415,325.932247799991
"Stewart",2010,1602.71785946215,1920.53728352299,2087.54766319962,2255.10238242666,2569.88475494729,241.791723871285
"Carmacks",2010,2447.96277032384,2782.11081481902,2956.53593684615,3131.63998832602,3463.25062809772,253.82196444347
"Teslin",2010,5586.68358546462,6028.14717329357,6253.73263906732,6487.75692936212,6930.72779605059,336.011052646494
"MiddleMainstem",2010,6118.48176736495,6441.30227019011,6605.25393825461,6770.5884534899,7093.46980504236,243.747009419352
"UpperLakesAndMainstem",2010,2339.19023148061,2409.10245222662,2446.16210727459,2482.56979605458,2553.93673168925,53.6866250521598
"LowerMainstem",2011,2584.38667456591,2671.71435330326,2716.29201953735,2760.34132860012,2845.1979243356,65.2028124424228
"WhiteDonjek",2011,4177.73455968281,5171.25128500105,5687.35782630514,6216.40970585516,7173.6551155869,748.980138976024
"Pelly",2011,4389.04511129301,5003.93831773192,5329.85644601273,5654.21264080542,6258.63062882602,467.396379383252
"Stewart",2011,3873.46450415029,4844.51144271056,5364.74093429774,5893.05446591296,6880.00173013645,751.634306496541
"Carmacks",2011,4056.96184420566,4817.16411914817,5201.5285143235,5586.7615759394,6346.076082547,572.278559585335
"Teslin",2011,10503.133698608,11383.612508645,11852.2778932064,12309.360640621,13194.8036188762,672.917480067047
"MiddleMainstem",2011,9668.33441069934,9855.95498293566,9956.34085631089,10055.4778762387,10251.8348356303,145.875106232739
"UpperLakesAndMainstem",2011,4967.91684208136,5096.42967062944,5162.19820351012,5229.65595573998,5358.26452949877,97.5869218543532
"LowerMainstem",2012,1830.20869301564,2072.65172353685,2223.46311874428,2348.81509777069,2540.95637178941,177.686919693442
"WhiteDonjek",2012,1908.85888295049,2541.84226803632,2933.67254792061,3326.66909076894,4019.91562410892,527.764185289607
"Pelly",2012,4137.16875430527,5125.95147141109,8050.67940005386,8336.77026133362,8757.04125787958,1154.96812589358
"Stewart",2012,1216.04390887355,1803.54147307188,2217.61733328666,6904.28664937668,7494.3317240578,1569.57195379606
"Carmacks",2012,2534.51109238746,3219.37032801147,3726.26345479085,4176.97081358483,4885.45868319494,587.736897701869
"Teslin",2012,5786.98243626941,6139.67430559335,6320.51640808048,6508.7708355627,6873.89432383458,271.727971891294
"MiddleMainstem",2012,6337.54842388252,6547.55201699328,6658.44993655635,6770.74157977897,6976.60023432418,159.762952610416
"UpperLakesAndMainstem",2012,2033.13973854804,2135.73358272392,2189.22501660693,2242.43558670286,2338.33552147852,76.2989457326175
"LowerMainstem",2013,93.5481853105936,119.456495781668,136.401698865363,1549.48377439775,4839.69019307708,1186.53550194162
"WhiteDonjek",2013,286.492210691185,2116.59758540606,5669.23247996864,7224.460376683,9706.55822997139,2355.01650482005
"Pelly",2013,3824.36012782165,4747.38726188337,5219.61411491889,5698.32411283843,6637.48680027079,703.281668112284
"Stewart",2013,234.216446004616,339.158982745101,4015.39838998008,8253.03999782602,9829.5941370762,2398.8444227679
"Carmacks",2013,2026.22820012388,2455.90989374713,2690.01737666926,2916.30859316354,3349.88949577712,330.91532391331
"Teslin",2013,5118.46067450205,5501.36310195766,5704.5453280693,5901.3892223876,6291.63887888215,293.294551095025
"MiddleMainstem",2013,4551.23431572107,4756.5363903389,4866.30772987606,4971.88141520196,5186.53423986314,158.824981035517
"UpperLakesAndMainstem",2013,2074.19483576989,2147.27479130873,2186.60917951266,2225.00444462413,2301.66937893358,56.8686357909216
"LowerMainstem",2014,4324.7201331469,4487.33422584253,4570.57249419822,4657.95487182752,4822.46783204165,124.436924723687
"WhiteDonjek",2014,2375.67866145166,3012.97683926076,3370.79645203732,3717.48335075277,4370.75745754556,498.769699023474
"Pelly",2014,8062.13080541389,8692.30056308818,9017.71332800996,9345.02337530938,9969.48070109935,476.837473921366
